tipo,status,data,"venc. fatura",valor,descrição,categoria,conta,"conta transferência",centro,contato,forma,projeto,"n. documento",observações,"data competência","id único",tags,cartão,repetição,"meta de economia"
transferência,confirmado,01/04/2025,,"50.000,00","blackbox digital ",transferência,"conta simples - c/c","banco santander",,"sem contato","sem forma pagto.","sem projeto",077,,01/11/2023,268543184,,,único,
transferência,confirmado,01/04/2025,,"-1.300,00","transferência conta pj p/ cartões ",transferência,"conta simples - c/c","conta simples - cartao scale",,"sem contato","sem forma pagto.","sem projeto",,,01/04/2025,268559855,,,único,
transferência,confirmado,01/04/2025,,"-10.000,00","transferência conta pj p/ cartões ",transferência,"conta simples - c/c","conta simples - cartao scale",,"sem contato","sem forma pagto.","sem projeto",,,01/04/2025,268559853,,,único,
receita,confirmado,01/04/2025,,"0,23","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,01/04/2025,268566071,receita,,único,
despesa,confirmado,01/04/2025,,"9,15","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566110,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"2,80","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566137,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"2,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566226,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"30,10","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566240,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"4,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566287,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"2,80","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566312,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"12,40","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566329,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"15,70","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566352,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"4,40","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566380,"despesas - black box",,único,
despesa,confirmado,01/04/2025,,"2,30","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566391,"despesas - black box",,único,
receita,confirmado,02/04/2025,,"0,81","rentabilidade cdi ",investimentos/rendimentos,"conta simples - c/c",,rendimentos,"blackbox digital ltda","sem forma pagto.","sem projeto",,,02/04/2025,268566528,receita,,único,
despesa,confirmado,02/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,268566586,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"8,20","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796020,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"7,40","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796074,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"8,00","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796095,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"2,30","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796240,"despesas - black box",,único,
despesa,confirmado,02/04/2025,,"3,40","estorno compra nacional parcelada em 2x de r$ 470,73 em carone e-commerce gaiv   vila velha   br ","sede - blackbox digital/bbox - lojinha sede","conta simples - c/c",,"blackbox digital - matriz ","blackbox digital ltda","sem forma pagto.","projeto bbox ",,,26/03/2025,270796307,"despesas - black box",,único,
